Customer Id,Subscription Id,Invoice Id,Invoice Date,Start Date,Amount,Status,Paid On,Next Retry,Refunded Amount,Recurring,First Invoice,Tax Total,Customer Details
2uENY2ytPEiGCuKJkO,2uENY2ytPEiGCuKJkO,7062,6/05/2015 06:29:00,6/05/2015 06:29:00,9,Payment Due,,,0,TRUE,TRUE,0,"{""First Name"":"""",""Company"":"""",""Email"":"""",""Last Name"":""""}"
1mqYqruPCRsr6EEhR,,7060,5/26/2015 09:54:00,5/26/2015 09:54:00,12,Payment Due,,,0,FALSE,FALSE,0,"{""First Name"":"""",""Company"":"""",""Email"":"""",""Last Name"":""""}"
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,draft_inv_2uENY31gPDfwZyZGw,5/25/2015 06:30:00,4/25/2015 06:30:00,20,Pending,,,0,TRUE,FALSE,0,"{""First Name"":""John"",""Company"":"""",""Email"":""john@user.com"",""Last Name"":""Wayne""}"
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_2uENY31gPDfw4nxFh,5/25/2015 06:28:00,4/27/2015 11:04:00,29,Pending,,,0,TRUE,FALSE,0,"{""First Name"":""asda"",""Company"":"""",""Email"":""asdfa@asd.com"",""Last Name"":""asd""}"
test_sub2,test_sub2,draft_inv_2slhRVZTPDfr7xK2Z,5/25/2015 06:08:00,4/25/2015 06:08:00,10,Pending,,,0,TRUE,FALSE,0,"{""First Name"":""John"",""Company"":"""",""Email"":"""",""Last Name"":""Doe""}"
test_sub,test_sub,draft_inv_2uENY31gPDfr0ZeA5,5/25/2015 06:07:00,4/25/2015 06:07:00,10,Pending,,,0,TRUE,FALSE,0,"{""First Name"":""John"",""Company"":"""",""Email"":"""",""Last Name"":""Doe""}"
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,draft_inv_HpvtAY1PDfqC5B1Z,5/25/2015 06:04:00,4/25/2015 06:04:00,10,Pending,,,0,TRUE,FALSE,0,"{""First Name"":""John"",""Company"":"""",""Email"":""john@test.com"",""Last Name"":""Doe""}"
cbdemo_XpbGA4wP6d1LnOC,cbdemo_XpbGA4wP6d1LnOC,draft_inv_1mqYqnaPDflh3K1,5/25/2015 05:46:00,4/25/2015 05:46:00,0,Pending,,,0,TRUE,FALSE,0,"{""First Name"":""Jon"",""Company"":"""",""Email"":""jon@cbacme.com"",""Last Name"":""M""}"
2uENY34fPA5FDA5NCA,2uENY30FPAZjzQaToC,7059,5/22/2015 09:35:00,4/22/2015 09:35:00,198,Payment Due,,,0,TRUE,TRUE,0,"{""First Name"":"""",""Company"":"""",""Email"":"""",""Last Name"":""""}"
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7058,5/19/2015 08:29:00,5/19/2015 08:29:00,11,Payment Due,,,0,FALSE,TRUE,0,"{""First Name"":"""",""Company"":"""",""Email"":"""",""Last Name"":""""}"
2uENY34fPA5Ela4NBW,2uENY34fPA5Ela4NBW,draft_inv_2uENY3ATPCueoMy10sn,5/17/2015 04:24:00,4/17/2015 04:24:00,0,Pending,,,0,TRUE,FALSE,0,"{""First Name"":"""",""Company"":"""",""Email"":"""",""Last Name"":""""}"
cbdemo_XpbGA4wP6d1ML7N,cbdemo_XpbGA4wP6d1ML7N,7057,5/14/2015 06:44:00,5/14/2015 06:44:00,10,Payment Due,,,0,FALSE,TRUE,0,"{""First Name"":""Michael"",""Company"":"""",""Email"":""mbruner@cbacme.com"",""Last Name"":""B""}"
2uENY37UPB3JoR6FS3,2uENY37UPB3JoR6FS3,7056,5/12/2015 11:00:00,4/27/2015 11:00:00,29,Paid,5/12/2015 11:00:00,,0,TRUE,TRUE,0,"{""First Name"":""John"",""Company"":"""",""Email"":""john@user.com"",""Last Name"":""Wayne""}"
2uENY34fPA5FDA5NCA,testsub2,7055,5/12/2015 10:15:00,4/27/2015 10:15:00,49,Payment Due,,,0,TRUE,TRUE,0,"{""First Name"":"""",""Company"":"""",""Email"":"""",""Last Name"":""""}"
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7054,5/12/2015 06:21:00,5/12/2015 06:21:00,19800210,Paid,5/12/2015 06:21:00,,0,TRUE,TRUE,0,"{""First Name"":"""",""Company"":"""",""Email"":"""",""Last Name"":""""}"
